01_TipoRegistro|02_Expedidor_CIF|03_Factura_Serie|04_Factura_Numero|05_Factura_Rectif_NumOriginal|06_Factura_FechaDoc|07_Factura_FechaAsien|08_Factura_FechaValor|09_Receptor_CIF|10_Posicion_Numero|11_ImporteTransaccion|12_ImpuestoIndirecto_BaseImponible|13_ImpuestoIndirecto_%|14_ImpuestoIndirecto_Cuota|15_ImpuestoIndirecto_%Deducibilidad|16_Recargo_BaseImponible|17_Recargo_%|18_Recargo_Cuota|19_Posicion_TotalFactura|20_Retencion_BaseImponible|21_Retencion_%|22_Retencion_Cuota|23_OtrosImportes|24_Posicion_LiquidoFactura|25_Expedidor_SistemaImpositivo|26_Receptor_SistemaImpositivo|27_Contab_Tercero|28_Contab_Transaccion|29_ContabExpedidor_ImpIndirecto_Cuota|30_ContabExpedidor_Recargo_Cuota|31_ContabExpedidor_Retencion_Cuota|32_ContabExpedidor_OtrosImportes|33_ContabReceptor_ImpIndirecto_Cuota|34_ContabReceptor_Recargo_Cuota|35_ContabReceptor_Retencion_Cuota|36_ContabReceptor_OtrosImportes|37_Factura_Tipo_CR_Expedidor|38_Factura_Tipo_CR_Receptor|39_RutaFactura_Expedidor|40_RutaFactura_Receptor|41_Factura_ModeloExpedidor|42_Factura_ModeloReceptor|43_Expedidor_Alias_Empresa|44_Receptor_Alias_Empresa|45_Ruta_Factura_Original|46_Campo_Opcional|47_Factura_Rectif_FechaOriginal|48_IdTipoImpuestoIndirecto|49_IdTipoImpuestoDirecto
I|B12345678||1002||20100427|20100427|20100427|B11111111|2|4000|4000|07.00|280|100.00|0|00.00|0|4280|||||||||6000000007|4720000700||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1002.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_2__Page_0000.CRI|||Tipo Reducido|
1|B12345678||1003||20100427|20100427|20100427|B11111111|1|25000|25000||3400||0||0|28400|0|00.00|0|0|28400|España_IVA_Tipos Estándar||4300001111||||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1003.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_3__Page_0000.CRI||||
I|B12345678||1003||20100427|20100427|20100427|B11111111|1|20000|20000|16.00|3200|100.00|0|00.00|0|23200|||||||||6000000016|4720001601||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1003.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_3__Page_0000.CRI|||Tipo Ordinario|
I|B12345678||1003||20100427|20100427|20100427|B11111111|2|5000|5000|04.00|200|100.00|0|00.00|0|5200|||||||||6000000004|4720000004||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1003.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_3__Page_0000.CRI|||Tipo Superreducido|
1|B12345678||1004||20100427|20100427|20100427|B11111111|1|39800|39800||3818||0||0|43618|0|00.00|0|10000|53618|España_IVA_Tipos Estándar||4300001111|||||5660000000|||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1004.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_4__Page_0000.CRI||||
I|B12345678||1004||20100427|20100427|20100427|B11111111|1|25000|25000|07.00|1750|100.00|0|00.00|0|26750|||||||||6000000007|4720000700||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1004.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_4__Page_0000.CRI|||Tipo Reducido|
I|B12345678||1004||20100427|20100427|20100427|B11111111|2|2500|2500|04.00|100|100.00|0|00.00|0|2600|||||||||6000000004|4720000004||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1004.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_4__Page_0000.CRI|||Tipo Superreducido|
I|B12345678||1004||20100427|20100427|20100427|B11111111|3|12300|12300|16.00|1968|100.00|0|00.00|0|14268|||||||||6000000016|4720001601||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1004.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_4__Page_0000.CRI|||Tipo Ordinario|
1|B12345678||1005||20100427|20100427|20100427|B11111111|1|33000|33000||4920||0||0|37920|0|00.00|0|10000|47920|España_IVA_Tipos Estándar||4300001111|||||5660000000|||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1005.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_5__Page_0000.CRI||||
I|B12345678||1005||20100427|20100427|20100427|B11111111|1|30000|30000|16.00|4800|100.00|0|00.00|0|34800|||||||||6000000016|4720001601||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1005.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_5__Page_0000.CRI|||Tipo Ordinario|
I|B12345678||1005||20100427|20100427|20100427|B11111111|2|3000|3000|04.00|120|100.00|0|00.00|0|3120|||||||||6000000004|4720000004||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1005.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_5__Page_0000.CRI|||Tipo Superreducido|
1|B12345678||1006||20100427|20100427|20100427|B11111111|1|126979|126979||7437||0||0|134416|0|00.00|0|10000|144416|España_IVA_Tipos Estándar||4300001111|||||5660000000|||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1006.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_6__Page_0000.CRI||||
I|B12345678||1006||20100427|20100427|20100427|B11111111|1|60049|60049|07.00|4204|100.00|0|00.00|0|64253|||||||||6000000007|4720000700||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1006.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_6__Page_0000.CRI|||Tipo Reducido|
I|B12345678||1006||20100427|20100427|20100427|B11111111|2|4630|4630|16.00|741|100.00|0|00.00|0|5371|||||||||6000000016|4720001601||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1006.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_6__Page_0000.CRI|||Tipo Ordinario|
I|B12345678||1006||20100427|20100427|20100427|B11111111|3|62300|62300|04.00|2492|100.00|0|00.00|0|64792|||||||||6000000004|4720000004||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100427_1006.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_6__Page_0000.CRI|||Tipo Superreducido|
1|B12345678||1007||20100503|20100503|20100503|B11111111|1|35600|35600||1844||0||0|37444|0|00.00|0|10000|47444|España_IVA_Tipos Estándar||4300001111|||||5660000000|||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100503_1007.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_7__Page_0000.CRI||||
I|B12345678||1007||20100503|20100503|20100503|B11111111|1|32100|32100|04.00|1284|100.00|0|00.00|0|33384|||||||||6000000004|4720000004||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100503_1007.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_7__Page_0000.CRI|||Tipo Superreducido|
I|B12345678||1007||20100503|20100503|20100503|B11111111|2|3500|3500|16.00|560|100.00|0|00.00|0|4060|||||||||6000000016|4720001601||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100503_1007.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_7__Page_0000.CRI|||Tipo Ordinario|
0|B12345678||1008||20100504|20100504|20100504|B11111111|0|26000|26000|07.00|1820|100.00|0|00.00|0|27820|0|00.00|0|10000|37820|España_IVA_Tipos Estándar||4300001111|6000000007|4720000700|||5660000000|||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100504_1008.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_8_Page_0000.CRI|||Tipo Reducido|
1|B12345678||1009||20100505|20100505|20100505|B11111111|1|56200|56200||7192||0||0|63392|0|00.00|0|0|63392|España_IVA_Tipos Estándar||4300001111||||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100505_1009.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_9_Page_0000.CRI||||
I|B12345678||1009||20100505|20100505|20100505|B11111111|1|36200|36200|16.00|5792|100.00|0|00.00|0|41992|||||||||6000000016|4720001601||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100505_1009.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_9_Page_0000.CRI|||Tipo Ordinario|
I|B12345678||1009||20100505|20100505|20100505|B11111111|2|20000|20000|07.00|1400|100.00|0|00.00|0|21400|||||||||6000000007|4720000700||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100505_1009.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_9_Page_0000.CRI|||Tipo Reducido|
1|B12345678||1010||20100506|20100506|20100506|B11111111|1|82000|82000||4840||0||0|86840|0|00.00|0|0|86840|España_IVA_Tipos Estándar||4300001111||||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100506_1010.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_10_Page_0000.CRI||||
I|B12345678||1010||20100506|20100506|20100506|B11111111|1|52000|52000|07.00|3640|100.00|0|00.00|0|55640|||||||||6000000007|4720000700||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100506_1010.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_10_Page_0000.CRI|||Tipo Reducido|
I|B12345678||1010||20100506|20100506|20100506|B11111111|2|30000|30000|04.00|1200|100.00|0|00.00|0|31200|||||||||6000000004|4720000004||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100506_1010.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_10_Page_0000.CRI|||Tipo Superreducido|
1|B12345678||1011||20100507|20100507|20100507|B11111111|1|342400|342400||23662||0||0|366062|0|00.00|0|10000|376062|España_IVA_Tipos Estándar||4300001111|||||5660000000|||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100507_1011.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_11_Page_0000.CRI||||
I|B12345678||1011||20100507|20100507|20100507|B11111111|1|325000|325000|07.00|22750|100.00|0|00.00|0|347750|||||||||6000000007|4720000700||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100507_1011.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_11_Page_0000.CRI|||Tipo Reducido|
I|B12345678||1011||20100507|20100507|20100507|B11111111|2|15600|15600|04.00|624|100.00|0|00.00|0|16224|||||||||6000000004|4720000004||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100507_1011.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_11_Page_0000.CRI|||Tipo Superreducido|
I|B12345678||1011||20100507|20100507|20100507|B11111111|3|1800|1800|16.00|288|100.00|0|00.00|0|2088|||||||||6000000016|4720001601||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100507_1011.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_11_Page_0000.CRI|||Tipo Ordinario|
1|B12345678||1012||20100508|20100508|20100508|B11111111|1|24813|24813||2494||0||0|27307|0|00.00|0|10000|37307|España_IVA_Tipos Estándar||4300001111|||||5660000000|||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100508_1012.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_12_Page_0000.CRI||||
I|B12345678||1012||20100508|20100508|20100508|B11111111|1|12300|12300|04.00|492|100.00|0|00.00|0|12792|||||||||6000000004|4720000004||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100508_1012.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_12_Page_0000.CRI|||Tipo Superreducido|
I|B12345678||1012||20100508|20100508|20100508|B11111111|2|12513|12513|16.00|2002|100.00|0|00.00|0|14515|||||||||6000000016|4720001601||||||||9||C:\Contarapid\DATOS\FACT_CONTAB\B12345678_PRUEBAS CONTARAPID\2010-01-01 --- 2010-12-31\B11111111_EMPRESA P, SL\FACT_EMIT\B11111111_20100508_1012.jpg||2425||PRUEBAS CONTARAPID|EMPRESA P, SL|C:\CR_PROCESADO\PRUEBAS CONTARAPID\EXPEDIDA ESTANDAR\FACTURASTEST_VARIOSIVAS_12_Page_0000.CRI|||Tipo Ordinario|
